ITEMTYPE,ITEMID,COLOR,MAXPRICE,MINQTY,CONDITION,NOTIFY,QTYFILLED,REMARKS
P,2412b,67,-1.0000,35,X,N,23,
P,61678,1,-1.0000,53,X,N,33,
P,32064,11,-1.0000,84,X,N,66,
P,24201,11,-1.0000,78,X,N,56,
P,24201,86,-1.0000,49,X,N,24,
P,2654,11,-1.0000,60,X,N,56,
P,4032,156,-1.0000,50,X,N,37,
P,41770,11,-1.0000,40,X,N,28,
P,41769,11,-1.0000,40,X,N,28,
P,61678,11,-1.0000,36,X,N,24,
P,43898,15,-1.0000,32,X,N,22,Three broke (ultrasonic clean when connected??)
